tweet_id,favorites,retweets
892420643555336193,37481,8163
892177421306343426,32216,6043
891815181378084864,24283,3999
891689557279858688,40805,8318
891327558926688256,39017,9011
891087950875897856,19608,2992
890971913173991426,11458,1984
890729181411237888,63215,18137
890609185150312448,26968,4107
890240255349198849,30913,7094
890006608113172480,29735,7052
889880896479866881,26970,4787
889665388333682689,46590,9651
889638837579907072,26260,4361
889531135344209921,14640,2166
889278841981685760,24470,5177
888917238123831296,28213,4339
888804989199671297,24770,4120
888554962724278272,19206,3397
888078434458587136,21081,3352
887705289381826560,29263,5174
887517139158093824,44879,11258
887473957103951883,66769,17461
887343217045368832,32620,10034
887101392804085760,29627,5729
886983233522544640,34004,7455
886736880519319552,11653,3137
886680336477933568,21747,4290
886366144734445568,20506,3079
886267009285017600,116,4
886258384151887873,27123,6068
886054160059072513,0,105
885984800019947520,31595,6522
885528943205470208,34872,6181
885518971528720385,19812,3607
885311592912609280,0,17847
885167619883638784,21237,4220
884925521741709313,74944,17544
884876753390489601,27022,5409
884562892145688576,23529,4507
884441805382717440,26180,5458
884247878851493888,70674,19763
884162670584377345,19741,2873
883838122936631299,21196,3314
883482846933004288,44496,9544
883360690899218434,21988,3573
883117836046086144,35994,6413
882992080364220416,23189,3777
882762694511734784,27401,4721
882627270321602560,27067,5869
882268110199369728,43522,11176
882045870035918850,28416,4764
881906580714921986,23565,3277
881666595344535552,49070,10296
881633300179243008,122,7
881536004380872706,47895,15377
881268444196462592,22430,5007
880935762899988482,16511,2685
880872448815771648,20627,3687
880465832366813184,27649,6041
880221127280381952,26191,4067
880095782870896641,26788,4182
879862464715927552,21657,3377
879674319642796034,301,10
879492040517615616,22734,3069
879415818425184262,102628,42743
879376492567855104,16296,3008
879130579576475649,0,6567
879050749262655488,21849,4536
879008229531029506,18387,2599
878776093423087618,18821,3983
878604707211726852,29292,6946
878404777348136964,0,1241
878316110768087041,0,6420
878281511006478336,7505,1241
878057613040115712,40796,6567
877736472329191424,77269,18440
877611172832227328,0,78
877556246731214848,22049,3672
877316821321428993,26592,5025
877201837425926144,26329,5403
876838120628539392,20086,3225
876537666061221889,22868,4489
876484053909872640,18224,2312
876120275196170240,27134,4517
875747767867523072,24460,4150
875144289856114688,21317,4773
875097192612077568,26621,5864
875021211251597312,24752,4571
874680097055178752,27031,4501
874434818259525634,0,14235
874296783580663808,25327,3989
874057562936811520,22077,3828
874012996292530176,33560,10083
873580283840344065,23553,3819
873337748698140672,0,1540
873213775632977920,7025,1540
872967104147763200,26576,5268
872820683541237760,14329,3601
872620804844003328,20221,3583
872486979161796608,39658,8775
872122724285648897,33517,7923
871879754684805121,36924,10861
871762521631449091,19762,3394
871515927908634625,19692,3370
871166179821445120,0,5556
871102520638267392,20420,5386
871032628920680449,22152,3728
870804317367881728,32832,6051
870726314365509632,118,3
870656317836468226,12112,2588
870374049280663552,80906,25686
870308999962521604,21380,4062
870063196459192321,35813,8169
869772420881756160,41555,9830
869702957897576449,27660,6217
869596645499047938,15652,3079
869227993411051520,20038,3721
868880397819494401,64225,14208
868639477480148993,0,2053
868622495443632128,26203,5209
868552278524837888,9922,2053
867900495410671616,23759,4110
867774946302451713,33354,7238
867421006826221569,15826,2457
867072653475098625,0,119
867051520902168576,31698,7749
866720684873056260,19714,4745
866686824827068416,18962,3431
866450705531457537,120281,34862
866334964761202691,51678,14235
866094527597207552,0,8270
865718153858494464,25248,5560
865359393868664832,26074,4956
865006731092295680,27589,7606
864873206498414592,31830,8633
864279568663928832,14405,2999
864197398364647424,29708,8848
863907417377173506,20361,4093
863553081350529029,15124,4150
863471782782697472,0,2421
863432100342583297,23513,5194
863427515083354112,2221,96
863079547188785154,8664,1093
863062471531167744,8406,2421
862831371563274240,18969,5072
862722525377298433,16889,3504
862457590147678208,20281,4932
862096992088072192,73669,23134
861383897657036800,35767,10654
861288531465048066,17029,4140
861005113778896900,16572,3787
860981674716409858,0,2152
860924035999428608,0,813
860563773140209665,7454,2152
860524505164394496,23427,5273
860276583193509888,18182,3473
860184849394610176,16548,5847
860177593139703809,0,30867
859924526012018688,19429,4078
859851578198683649,15307,3512
859607811541651456,18474,1574
859196978902773760,89428,30257
859074603037188101,33682,13660
858860390427611136,0,8165
858843525470990336,15470,3497
858471635011153920,21413,4850
858107933456039936,15667,2914
857989990357356544,16063,2602
857746408056729600,34166,10705
857393404942143489,5895,1657
857263160327368704,19981,4547
857214891891077121,227,18
857062103051644929,0,171
857029823797047296,18923,4043
856543823941562368,16259,2911
856526610513747968,11853,1905
856330835276025856,0,682
856288084350160898,518,17
856282028240666624,27746,6399
855862651834028034,344,26
855860136149123072,5010,1040
855857698524602368,11886,2139
855851453814013952,45649,18003
855818117272018944,26700,5519
855459453768019968,29978,8336
855245323840757760,0,6074
855138241867124737,0,46
854732716440526848,22970,6212
854482394044301312,29475,6995
854365224396361728,19007,4772
854120357044912130,32203,7630
854010172552949760,16307,3215
853760880890318849,28813,5897
853639147608842240,35110,10368
853299958564483072,15653,3640
852936405516943360,0,2059
852912242202992640,9163,1884
852672615818899456,15098,2207
852553447878664193,16522,3599
852311364735569921,33526,10153
852226086759018497,20254,6979
852189679701164033,11605,1626
851953902622658560,0,9914
851861385021730816,0,22
851591660324737024,16451,3567
851464819735769094,24601,7281
851224888060895234,20974,5897
850753642995093505,31436,9538
850380195714523136,13290,2698
850333567704068097,3497,347
850145622816686080,16598,3940
850019790995546112,20797,5045
849776966551130114,31014,7855
849668094696017920,0,5112
849412302885593088,16173,3247
849336543269576704,11615,1956
849051919805034497,43239,8794
848690551926992896,25693,4469
848324959059550208,25245,4759
848213670039564288,8344,773
848212111729840128,16664,3174
847978865427394560,0,3371
847971574464610304,0,442
847962785489326080,24003,5276
847842811428974592,5571,1381
847617282490613760,7136,440
847606175596138505,19185,3534
847251039262605312,20907,4447
847157206088847362,20377,6076
847116187444137987,21886,3314
846874817362120707,20528,4074
